PLAYER_ID,PLAYER_NAME
467,Jason Kidd
78432,Neal Walk
201563,Michael Beasley
78202,Bingo Smith
201952,Jeff Teague
72,Kenny Anderson
201155,Rodney Stuckey
76983,Walt Hazzard
199,Reggie Williams
77487,Cedric Maxwell
317,John Starks
76668,Wayne Embry
1889,Andre Miller
133,David Wesley
76233,Bill Bradley
76091,Greg Ballard
77338,Stu Lantz
2030,Kenyon Martin
76392,Jim Chones
2731,Emeka Okafor
76250,Frank Brian
103,Todd Day
345,Terry Porter
77627,Eric Money
77295,Don Kojis
76454,Larry Costello
202704,Reggie Jackson
335,Willie Anderson
78213,Dick Snyder
78453,Bobby Wanzer
77689,Swen Nater
76095,Mike Bantom
202340,Avery Bradley
77263,Albert King
788,Kevin Willis
201587,Nicolas Batum
1719,Bonzi Wells
2046,Desmond Mason
686,Antonio McDyess
76539,Darryl Dawkins
77167,Vinnie Johnson
78561,Nate Williams
201586,Serge Ibaka
77967,Arnie Risen
717,Arvydas Sabonis
1507,Derek Anderson
2403,Nene
78133,Lonnie Shelton
201156,Nick Young
202391,Jeremy Lin
2449,Luis Scola
2222,Gerald Wallace
702,Voshon Lenard
76249,Ron Brewer
64,Sam Perkins
202693,Markieff Morris
201977,Marcus Thornton
200755,JJ Redick
76187,John Block
76253,Bill Bridges
202702,Kenneth Faried
111,LaPhonso Ellis
101109,Raymond Felton
1005,Walt Williams
1905,Andrei Kirilenko
404,Kevin Duckworth
124,Vlade Divac
78178,Adrian Smith
78406,Norm Van Lier
78610,Al Wood
201588,George Hill
1622,Rodney McCray
77134,Steve Johnson
182,Billy Owens
2749,Jameer Nelson
209,Dell Curry
76826,Mike Gminski
78003,Guy Rodgers
76106,Jim Barnett
78028,Curtis Rowe
76867,Johnny Green
78304,Terry Teagle
76736,Phil Ford
77043,Lionel Hollins
77876,Kevin Porter
389,Toni Kukoc
76350,Kenny Carr
76338,Tony Campbell
77533,Jon McGlocklin
101115,Andrew Bynum
77227,Bob Kauffman
77193,Bobby Jones
77786,Tom Owens
1723,Matt Harpring
76017,Danny Ainge
1501,Tim Thomas
221,Clar. Weatherspoon
76191,Arlen Bockhorn
105,Dan Majerle
202324,Derrick Favors
104,Benoit Benjamin
77936,Robert Reid
76599,Larry Drew
77911,Kelvin Ransey
313,Vern Fleming
76093,Gene Banks
2734,Devin Harris
201167,Arron Afflalo
202683,Enes Kanter
76828,Tom Gola
78094,Freddie Scolari
441,Lamond Murray
57,Doug Christie
2399,Mike Dunleavy
1802,Brad Miller
923,Donyell Marshall
77012,Fred Hetzel
168,Chris Mills
201945,Gerald Henderson
2551,T.J. Ford
445,Wesley Person
2549,Chris Kaman
270,Horace Grant
77696,Lloyd Neal
77081,Jay Humphries
722,Corliss Williamson
244,Dee Brown
77089,Mel Hutchins
101,Scott Skiles
71,Pooh Richardson
2419,Tayshaun Prince
76385,Maurice Cheeks
77706,Paul Neumann
1008,Johnny Dawkins
2045,Hedo Turkoglu
101127,Jarrett Jack
184,Bobby Phills
73,Hot Rod Williams
1508,Maurice Taylor
101126,Nate Robinson
428,Sherman Douglas
271,Johnny Newman
183,Bison Dele
76838,Joe Graboski
52,Micheal Williams
101141,Ersan Ilyasova
76887,Kevin Grevey
365,Derrick McKey
356,Chris Morris
2400,Drew Gooden
76704,Ray Felix
193,Anthony Mason
77210,Phil Jordon
915,Rodney Rogers
236,Kevin Edwards
2550,Kirk Hinrich
76217,Sam Bowie
693,Joe Smith
77071,Phil Hubbard
77999,Red Rocha
470,Doc Rivers
202694,Marcus Morris
289,Ledell Eackles
1006,Herb Williams
78147,Larry Siegfried
78113,Frank Selvy
76815,Herm Gilliam
201171,Carl Landry
78392,Wes Unseld
2211,Troy Murphy
898,Blue Edwards
78335,Rod Thorn
2050,Morris Peterson
77419,John Lucas
1739,Ruben Patterson
78064,Woody Sauldsberry
200765,Rajon Rondo
2034,Mike Miller
2571,Leandro Barbosa
76046,Ron Anderson
76414,Jack Coleman
77618,Steve Mix
101107,Marvin Williams
77879,Paul Pressey
371,Terry Mills
76774,Dave Gambee
201196,Ramon Sessions
78466,Jim Washington
2804,Andres Nocioni
202323,Evan Turner
258,Brian Grant
1715,Jason Williams
77997,Bill Robinzine
344,Dana Barros
2772,Trevor Ariza
76611,Walter Dukes
101162,Marcin Gortat
101111,Charlie Villanueva
922,Elden Campbell
77700,Don Nelson
423,Chris Gatling
77326,Sam Lacey
200751,Randy Foye
77268,George King
2047,Quentin Richardson
760,Jerome Kersey
76881,David Greenwood
77324,Mitch Kupchak
76800,Jack George
78390,Terry Tyler
77297,Howard Komives
179,Bryant Stith
919,Loy Vaught
