player_id,season_id,cluster
57.0,2000-01,0
57.0,2001-02,0
57.0,2002-03,0
57.0,2003-04,0
57.0,2004-05,0
57.0,2005-06,1
57.0,2006-07,1
61.0,1996-97,0
61.0,1997-98,1
61.0,1998-99,2
63.0,1996-97,1
63.0,1997-98,1
63.0,1998-99,1
63.0,1999-00,1
63.0,2000-01,1
64.0,1996-97,0
64.0,1997-98,0
64.0,1998-99,2
64.0,1999-00,0
64.0,2000-01,2
67.0,1996-97,2
67.0,1997-98,1
67.0,1998-99,1
67.0,1999-00,1
67.0,2000-01,1
70.0,1996-97,0
70.0,1997-98,0
70.0,1998-99,2
70.0,1999-00,1
70.0,2000-01,2
70.0,2001-02,2
70.0,2002-03,0
71.0,1996-97,2
71.0,1997-98,2
71.0,1998-99,1
72.0,1996-97,0
72.0,1997-98,0
72.0,1998-99,2
72.0,1999-00,0
72.0,2000-01,2
72.0,2001-02,0
72.0,2002-03,0
72.0,2003-04,2
72.0,2004-05,0
73.0,1996-97,2
73.0,1997-98,2
73.0,1998-99,1
76.0,1996-97,0
76.0,1997-98,0
76.0,1998-99,1
76.0,1999-00,0
76.0,2000-01,0
77.0,1996-97,1
77.0,1997-98,1
77.0,1998-99,0
77.0,1999-00,2
77.0,2000-01,0
77.0,2001-02,1
77.0,2003-04,0
78.0,1996-97,1
80.0,1996-97,1
81.0,1996-97,1
81.0,1997-98,1
82.0,1996-97,0
82.0,1997-98,2
82.0,1998-99,2
82.0,1999-00,1
84.0,1996-97,0
84.0,1997-98,2
84.0,1998-99,0
84.0,1999-00,0
84.0,2000-01,0
84.0,2001-02,0
84.0,2002-03,0
84.0,2003-04,0
84.0,2004-05,0
85.0,1996-97,1
85.0,1997-98,0
85.0,1998-99,2
85.0,1999-00,2
85.0,2000-01,1
85.0,2001-02,1
87.0,1996-97,2
87.0,1997-98,2
87.0,1998-99,1
87.0,1999-00,2
87.0,2000-01,0
87.0,2001-02,2
87.0,2002-03,1
87.0,2003-04,1
87.0,2004-05,1
87.0,2005-06,1
87.0,2006-07,1
87.0,2007-08,1
87.0,2008-09,1
89.0,1996-97,0
89.0,1997-98,0
89.0,1998-99,0
89.0,1999-00,0
89.0,2000-01,0
89.0,2001-02,0
89.0,2002-03,0
89.0,2003-04,0
89.0,2004-05,0
89.0,2005-06,0
93.0,1996-97,2
93.0,1997-98,0
93.0,1998-99,0
93.0,1999-00,0
93.0,2000-01,0
93.0,2001-02,0
93.0,2002-03,1
93.0,2003-04,1
95.0,1996-97,2
95.0,1997-98,1
95.0,1998-99,2
95.0,1999-00,2
95.0,2000-01,1
95.0,2001-02,1
95.0,2002-03,1
96.0,1996-97,0
96.0,1997-98,0
96.0,1998-99,0
96.0,1999-00,2
96.0,2000-01,1
98.0,1996-97,0
98.0,1997-98,0
98.0,1998-99,0
98.0,1999-00,0
98.0,2000-01,1
98.0,2001-02,1
103.0,1996-97,0
103.0,1997-98,1
103.0,1999-00,2
103.0,2000-01,1
104.0,1996-97,1
104.0,1997-98,1
104.0,1998-99,1
104.0,1999-00,1
105.0,1996-97,2
105.0,1997-98,0
105.0,1998-99,0
105.0,1999-00,0
105.0,2000-01,2
105.0,2001-02,2
107.0,1996-97,0
107.0,1997-98,0
107.0,1998-99,0
107.0,1999-00,0
109.0,1996-97,0
109.0,1997-98,2
109.0,1998-99,1
109.0,1999-00,2
109.0,2000-01,2
109.0,2001-02,0
109.0,2002-03,0
109.0,2003-04,2
109.0,2004-05,0
109.0,2005-06,0
109.0,2006-07,2
109.0,2007-08,1
111.0,1996-97,0
111.0,1997-98,0
111.0,1998-99,1
111.0,1999-00,2
111.0,2000-01,0
111.0,2001-02,0
111.0,2002-03,2
116.0,1996-97,1
120.0,1996-97,0
120.0,1997-98,0
120.0,1998-99,0
120.0,1999-00,0
120.0,2000-01,0
120.0,2001-02,0
120.0,2002-03,2
120.0,2003-04,2
120.0,2004-05,0
121.0,1996-97,0
121.0,1997-98,0
121.0,1998-99,2
121.0,1999-00,2
121.0,2000-01,0
121.0,2001-02,2
122.0,1996-97,1
123.0,1996-97,0
123.0,1997-98,1
123.0,1998-99,1
123.0,1999-00,1
123.0,2000-01,2
123.0,2001-02,1
123.0,2002-03,1
123.0,2003-04,1
124.0,1996-97,0
124.0,1997-98,2
124.0,1998-99,0
124.0,1999-00,0
124.0,2000-01,2
124.0,2001-02,2
124.0,2002-03,2
124.0,2003-04,0
